"BookTitle","AuthorName","BookRating"
"Dark of the Moon (Virgil Flowers, #1)","John Sandford","3.98"
"Looking Good Dead (Roy Grace, #2)","Peter James","4.11"
"Bad Blood (Virgil Flowers, #4)","John Sandford","4.21"
"Mad River (Virgil Flowers, #6)","John Sandford","4.18"
"Dead Water (Shetland Island, #5)","Ann Cleeves","4.07"
"Zoo Station (John Russell, #1)","David Downing","3.84"
"Certain Prey (Lucas Davenport, #10)","John Sandford","4.20"
"The Candidate: A Luxembourg Thriller","Daniel Pembrey","3.24"
"Killer Dust (Em Hansen Mystery, #8)","Sarah Andrews","3.63"
"Payment in Blood (Inspector Lynley, #2)","Elizabeth  George","4.01"
"The Silent Sleep of the Dying","Keith McCarthy","3.73"
"Real World","Natsuo Kirino","3.40"
"The Stakeout","Elizabeth A. Hale","3.40"
"The Choice (Walk the Right Road #1)","Lorhainne Eckhart","3.67"
"Exit Strategy (Katerina Carter Fraud #1)","Colleen Cross","3.75"
"The Pull Out Method","Lucky Stevens","3.59"
"The Bitch","Les Edgerton","4.33"
"The Penance List (David Trilogy, #1)","S.C. Cunningham","4.26"
"Manhattan Affair","Jack Sussek","3.82"
"Hill Country","R. Thomas Brown","3.76"
"Mad Dog House","Mark Rubinstein","3.76"
"The Spell of Deception","Mark Miner","did n"
"Restless Urges: Confession Of A Serial Killer","L.B. Sommer","4.67"
"Burn in Hell (A Jake Carrington Mystery, #2)","Marian Lanouette","4.22"
"Huntington House: A Mike Humber Detective Novel","R.R. Haywood","4.26"
"Ennui","Phillip Thomas Duck","4.80"
"The Traveller","Giles M. Housden","0.00"
"The Blood Doctrine","Ross Poore","2.83"
"A Degree In Death","Ruby Gupta","3.87"
"The Tacoma Pill Junkies","Joshua Swainston","3.91"
"The Tangerine Killer (Sam Weber Investigations, #1)","Claire Svendsen","3.83"
"The Fear of Things to Come (Samantha Clark Mystery #2)","Kathryne Arnold","4.07"
"Drift","Jon McGoran","3.88"
"Past Aghast","Edwin Dasso","4.20"
"The Shadow Tracer","Meg Gardiner","3.79"
"Treating Murder (Veronica Lane, M.D., #1)","Gabrielle Black","3.65"
"LoveClub (Dr. Lengyel, #1)","Levente Lakatos","4.07"
"Silence Her","Barb Dimich","4.20"
"The Swiss Connection","J.D. Mallinson","liked"
"Don't Kill the Dead","Vusi Gumbi","4.67"
"Teardrops in an Ocean (Marshall Mystery #1)","Phillip Thurlby","reall"
"The Royal Kidnapping","J. Jack Bergeron","4.73"
"Missing, Assumed Dead","Marva Dasef","3.95"
"Anybody's Daughter (Angela Evans #2)","Pamela Samuels Young","4.23"
"Deadly Currents (An RM Outdoor Adventures Mystery, #1)","Beth Groundwater","3.40"
"Revolving Door","Veronica Bower-Feek","4.36"
"RedDevil 4","Eric C. Leuthardt","3.58"
"Ascension","Nadine LaLonde","3.78"
"For by Grace (Spirit of Grace, #1)","Adrian J. Smith","3.68"
"The Puzzle Of Grandpops","Mark           Williams","reall"
"Sand","Paul  Majkut","4.52"
"First Night of Summer","Landon Parham","3.92"
"Catfight","K.T. Waltzer","3.67"
"Genesis: Two Worlds One Mission","Claus M. Lohman","3.89"
"Something in the Woods is Taking People","Stephen Young","3.36"
"Stolen Spirits","Penny Ross","liked"
"Twisted Tears","Stan Taylor","4.18"
"Courier","Terry  Irving","3.94"
"Blood Chain","J.J. Francesco","4.40"
"Murder Strikes a Pose (Downward Dog Mystery, #1)","Tracy Weber","3.70"
"Peninah's Passion","Andy  Lang","4.60"
"A Saintly Killing (Faith Morgan Mystery, #3)","Martha Ockley","4.12"
"Death in Leamington","David        Smith","3.67"
"The Blue Chair","Richard Wolkomir","4.60"
"The Woman in Black","Rene Natan","4.25"
"South on Pacific Coast Highway","Gary Paul Corcoran","4.78"
"Divine Justice (Camel Club, #4)","David Baldacci","4.18"
"Pulse","Robert     Cook","3.76"
"One Particular Harbour (Jake Sullivan Series, #5)","Chip Bell","4.31"
"Unfinished Business (Kovak & Quaid Horse Mysteries #3)","Toni Leland","4.37"
"Kiss the Girls","Pete Brassett","3.72"
"Killer Scent (John Twait Mysterys #3)","Tony Rehor","4.83"
"Blood Recruit","Murphy Morrison","3.89"
"Enter the Uncreated Night","Christopher Rankin","3.59"
"The Fisherman's Lily","Suzanne Spiegoski","3.65"
"Palm Beach Nasty","Tom     Turner","3.91"
"Pleasantville","Attica Locke","3.80"
"Bright Lights and White Nights","Andrew  Carter","4.27"
"Sapphires Aren't Forever - A Jewelry Designer Mystery","Christine Matthews","4.33"
"Humpty Dumpty Was Pushed","Marc Blatte","3.43"
"Still Night in L.A.","Aram Saroyan","3.81"
"Mojado (Navajo Nation Mystery #4)","R. Allen Chappell","4.19"
"Harmony, USA","Lewis Bryan","3.76"
"The Prince of Mafia Princes","Patricia Bellomo","3.93"
"Skin Deep (Harry Hendrick #1)","Gary Kemble","reall"
"Worm","Erica S. Watson","2.71"
"Ocean City Cover-up: A Jamie August Novel","Kim Kash","4.31"
"A Smaller Hell","A.J. Reid","3.24"
"The Obituary (Jefferson Morgan Mysteries Book 2)","Ron Franscell","3.86"
"Clementine's Shadow","Peggy Rothschild","4.07"
"Rotten Peaches (The Thelonious T. Bear Chronicles, #2)","Mitzi Szereto","4.17"
"Un d°a perfecto para Elis","Juanse GutiÇrrez","3.13"
"Fi5th Assasin","Charles Omo","4.31"
"The Bishop's Wife (Linda Wallheim Mystery, #1)","Mette Ivie Harrison","3.11"
"Cover Her Face (Adam Dalgliesh #1)","P.D. James","3.94"
"Dies Irae (Scott Drayco Mystery Series #3)","B.V. Lawson","4.54"
"The Shadow Broker","Trace Conger","3.94"
"Deadly Dating Games: Blackmail. Murder. Romance.","Joanie Chevalier","3.96"
"The Lipstick Murders","Ricky Corum","3.35"
"Summit Lake","Charlie Donlea","3.96"
"BULLETS (Jon ""Big Slick"" Elder Book 1)","Elijah Drive","4.47"
"Headlock (A Jeff Reynolds Mystery Book 1)","Burl Barer","4.56"
"Uncontrolled Spin: The Power and Danger of Spin","Jerry Summers","3.80"
"Third Rail: An Eddy Harkness Novel (Eddy Harkness, #1)","Rory Flynn","3.61"
"Easy Motion Tourist","Leye Adenle","3.72"
"Tell No One","Harlan Coben","4.11"
